# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2017-10-20
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2020-02-19 (852 days after)
# Measured five times at around the position 3
# Data between 950 nm and 1650 nm are also available (SPS-XWW).
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3	Pos.3 #4	Pos.3 #5
560	83.17	83.43	83.33	83.86	83.66
558	83.13	83.56	83.14	83.96	83.58
556	83.14	83.49	83.16	83.93	83.64
554	83.31	83.71	83.28	83.92	83.72
552	83.30	83.65	83.37	83.92	83.55
550	83.26	83.66	83.28	83.77	83.64
548	83.00	83.66	83.18	83.76	83.62
546	82.98	83.54	83.29	83.84	83.40
544	83.21	83.37	83.23	83.82	83.66
542	83.21	83.59	83.18	84.05	83.54
540	83.14	83.49	83.26	83.70	83.33
538	83.31	83.53	83.26	83.78	83.64
536	83.23	83.54	83.15	83.78	83.52
534	83.08	83.54	83.37	83.72	83.43
532	83.16	83.57	83.22	83.88	83.45
530	83.19	83.52	83.26	83.64	83.44
528	83.16	83.62	83.31	83.68	83.51
526	83.00	83.43	83.47	83.64	83.58
524	83.07	83.44	83.45	83.73	83.26
522	83.17	83.33	83.27	83.73	83.52
520	83.10	83.38	83.27	83.95	83.56
518	83.04	83.40	83.26	83.79	83.39
516	83.19	83.38	83.16	83.69	83.37
514	83.14	83.53	83.11	83.54	83.43
512	83.05	83.48	83.31	83.67	83.42
510	82.88	83.38	83.12	83.50	83.25
508	82.97	83.28	82.92	83.57	83.57
506	83.00	83.24	83.14	83.53	83.09
504	83.10	83.13	83.07	83.65	83.18
502	83.09	83.26	83.15	83.48	83.51
500	82.93	83.41	83.08	83.48	83.23
498	82.96	83.16	82.98	83.34	83.30
496	82.88	83.22	82.82	83.49	83.18
494	82.92	83.04	83.24	83.24	82.94
492	82.73	83.31	83.25	83.65	83.36
490	82.95	83.43	83.13	83.60	83.14
488	82.89	83.06	82.97	83.43	83.03
486	82.72	83.10	82.86	83.37	82.98
484	82.66	83.12	82.95	83.47	82.89
482	82.78	83.17	82.62	83.31	83.03
480	82.86	82.89	82.86	83.19	83.05
478	82.71	82.93	83.08	83.31	83.04
476	82.60	83.04	82.93	83.43	82.93
474	82.60	83.06	82.73	82.93	82.86
472	82.55	82.93	82.91	83.36	83.23
470	82.76	83.05	82.82	83.04	83.09
468	82.54	83.12	83.00	82.96	82.94
466	82.80	82.95	82.77	83.48	83.05
464	82.52	82.83	83.17	83.08	82.85
462	82.47	82.76	82.50	83.08	82.65
460	82.46	82.75	82.56	83.34	82.89
458	82.35	82.95	82.80	82.98	82.91
456	82.37	82.78	82.77	82.93	82.71
454	82.06	82.67	82.63	83.16	82.42
452	82.32	82.71	82.64	83.01	82.74
450	82.45	82.57	82.73	83.04	83.19
448	82.30	82.35	82.59	83.11	82.80
446	82.24	82.68	82.44	82.91	82.56
444	82.33	82.63	82.34	82.89	83.04
442	82.38	82.40	82.69	82.89	82.55
440	82.12	82.97	82.48	82.56	82.29
438	81.93	82.33	82.36	82.83	82.56
436	82.06	82.49	82.48	82.59	82.08
434	82.38	82.64	82.25	82.75	82.56
432	82.14	82.61	82.53	82.95	82.46
430	82.20	82.42	82.34	82.64	82.26
428	82.09	82.64	82.19	82.95	82.89
426	81.61	82.46	82.39	82.91	82.26
424	82.06	82.82	82.46	82.55	82.22
422	81.55	82.39	82.31	83.15	82.03
420	82.00	81.93	82.56	82.77	82.36
418	81.97	82.20	82.16	82.36	82.36
416	82.13	82.36	82.48	82.19	82.49
414	81.84	82.25	82.34	82.57	82.42
412	81.67	82.62	82.37	82.38	82.07
410	81.68	81.65	82.51	81.73	81.95
408	81.93	82.37	81.97	81.86	82.40
406	81.48	82.51	82.02	81.98	81.97
404	81.80	81.98	81.66	82.25	81.61
402	82.08	82.04	82.30	81.91	81.76
400	81.81	81.86	82.12	82.05	81.74
398	81.31	82.44	82.74	81.96	81.30
396	81.77	81.68	81.94	81.55	82.09
394	80.98	81.75	81.59	81.74	82.20
392	82.08	81.61	81.68	82.23	81.48
390	81.56	81.77	81.36	81.85	81.64
388	80.88	81.99	81.73	81.63	81.70
386	81.22	81.74	80.96	82.54	82.30
384	80.78	81.20	81.46	82.19	81.83
382	81.51	81.40	81.89	81.95	81.26
380	81.63	82.02	81.34	80.81	81.44
1650	93.23	93.62	93.47	93.84	93.60
1640	93.23	93.63	93.48	93.84	93.60
1630	93.24	93.63	93.48	93.85	93.60
1620	93.23	93.63	93.48	93.84	93.61
1610	93.23	93.62	93.48	93.84	93.61
1600	93.22	93.63	93.47	93.83	93.60
1590	93.21	93.61	93.45	93.82	93.58
1580	93.19	93.60	93.44	93.80	93.57
1570	93.18	93.58	93.43	93.78	93.55
1560	93.17	93.57	93.42	93.77	93.54
1550	93.15	93.54	93.39	93.75	93.53
1540	93.13	93.53	93.37	93.73	93.50
1530	93.11	93.50	93.35	93.71	93.48
1520	93.09	93.49	93.33	93.69	93.45
1510	93.07	93.47	93.31	93.66	93.44
1500	93.04	93.45	93.28	93.64	93.41
1490	93.01	93.42	93.25	93.60	93.38
1480	92.99	93.39	93.23	93.58	93.35
1470	92.96	93.36	93.20	93.55	93.32
1460	92.93	93.34	93.17	93.52	93.29
1450	92.90	93.31	93.13	93.49	93.26
1440	92.87	93.27	93.11	93.46	93.24
1430	92.83	93.25	93.07	93.43	93.20
1420	92.80	93.22	93.04	93.40	93.17
1410	92.78	93.19	93.02	93.37	93.14
1400	92.74	93.16	92.98	93.34	93.11
1390	92.72	93.13	92.96	93.31	93.07
1380	92.68	93.09	92.91	93.27	93.04
1370	92.61	93.02	92.85	93.19	92.98
1360	92.56	92.98	92.81	93.15	92.93
1350	92.52	92.95	92.76	93.12	92.89
1340	92.49	92.91	92.73	93.08	92.86
1330	92.45	92.87	92.68	93.04	92.81
1320	92.40	92.83	92.64	93.01	92.78
1310	92.36	92.79	92.60	92.96	92.74
1300	92.32	92.75	92.56	92.92	92.69
1290	92.28	92.71	92.52	92.87	92.65
1280	92.23	92.66	92.47	92.83	92.61
1270	92.19	92.61	92.43	92.79	92.57
1260	92.13	92.57	92.37	92.74	92.52
1250	92.09	92.52	92.33	92.68	92.47
1240	92.03	92.46	92.27	92.63	92.41
1230	91.99	92.41	92.22	92.58	92.36
1220	91.92	92.35	92.16	92.52	92.30
1210	91.86	92.29	92.10	92.45	92.24
1200	91.79	92.22	92.03	92.39	92.17
1190	91.72	92.15	91.96	92.31	92.10
1180	91.63	92.07	91.87	92.23	92.02
1170	91.56	92.00	91.79	92.16	91.95
1160	91.48	91.92	91.72	92.08	91.87
1150	91.41	91.85	91.65	92.00	91.79
1140	91.32	91.75	91.55	91.91	91.70
1130	91.22	91.65	91.45	91.82	91.60
1120	91.10	91.55	91.34	91.70	91.49
1110	90.99	91.43	91.23	91.59	91.39
1100	90.87	91.31	91.11	91.48	91.27
1090	90.74	91.19	90.98	91.34	91.14
1080	90.60	91.05	90.83	91.20	91.00
1070	90.45	90.89	90.68	91.05	90.85
1060	90.29	90.74	90.52	90.89	90.69
1050	90.11	90.56	90.34	90.71	90.50
1040	89.91	90.37	90.14	90.52	90.32
1030	89.71	90.17	89.94	90.32	90.12
1020	89.48	89.94	89.71	90.09	89.90
1010	89.24	89.70	89.46	89.85	89.65
